Name,WordID,Word,length,height,baseline,line,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story02,1,The,3,14,86,1,215,72,248,86,215,56,248,106
story02,2, trial,6,14,86,1,248,72,314,86,248,56,314,106
story02,3, pack,5,17,86,1,314,72,369,89,314,56,369,106
story02,4, of,3,14,86,1,369,72,402,86,369,56,402,106
story02,5, Beauty-Forever,15,15,86,1,402,74,567,89,402,56,567,106
story02,6, pills,6,17,86,1,567,72,633,89,567,56,633,106
story02,7, made,5,14,86,1,633,72,688,86,633,56,688,106
story02,8, the,4,14,86,1,688,72,732,86,688,56,732,106
story02,9, couple,7,17,86,1,732,72,809,89,732,56,809,106
story02,10, feel,5,14,86,1,809,72,864,86,809,56,864,106
story02,11, more,5,10,86,1,864,76,919,86,864,56,919,106
story02,12, attractive,11,14,86,1,919,72,1040,86,919,56,1040,106
story02,13,than,4,14,147,2,215,133,259,147,215,117,259,167
story02,14, either,7,14,147,2,259,133,336,147,259,117,336,167
story02,15, had,4,14,147,2,336,133,380,147,336,117,380,167
story02,16, ever,5,10,147,2,380,137,435,147,380,117,435,167
story02,17, imagined,9,17,147,2,435,133,534,150,435,117,534,167
story02,18, possible.,10,17,147,2,534,133,644,150,534,117,644,167
story02,19, Suddenly,9,17,147,2,644,133,743,150,644,117,743,167
story02,20, their,6,14,147,2,743,133,809,147,743,117,809,167
story02,21, marriage,9,17,147,2,809,133,908,150,809,117,908,167
story02,22, was,4,10,147,2,908,137,952,147,908,117,952,167
story02,23, filled,7,14,147,2,952,133,1029,147,952,117,1029,167
story02,24,with,4,14,208,3,215,194,259,208,215,178,259,228
story02,25, more,5,10,208,3,259,198,314,208,259,178,314,228
story02,26," laughter,",10,17,208,3,314,194,424,211,314,178,424,228
story02,27, more,5,10,208,3,424,198,479,208,424,178,479,228
story02,28," cuddling,",10,17,208,3,479,194,589,211,479,178,589,228
story02,29, more,5,10,208,3,589,198,644,208,589,178,644,228
story02,30, passionate,11,17,208,3,644,194,765,211,644,178,765,228
story02,31, sex,4,10,208,3,765,198,809,208,765,178,809,228
story02,32, more,5,10,208,3,809,198,864,208,809,178,864,228
story02,33, often.,7,14,208,3,864,194,941,208,864,178,941,228
story02,34,"Convinced,",10,17,269,4,215,255,325,272,215,237,325,289
story02,35, they,5,17,269,4,325,255,380,272,325,237,380,289
story02,36, became,7,14,269,4,380,255,457,269,380,237,457,289
story02,37, loyal,6,17,269,4,457,255,523,272,457,237,523,289
story02,38, customers.,11,12,269,4,523,257,644,269,523,237,644,289
story02,39, One,4,12,269,4,644,257,688,269,644,237,688,289
story02,40," day,",5,17,269,4,688,255,743,272,688,237,743,289
story02,41, lying,6,17,269,4,743,255,809,272,743,237,809,289
story02,42, in,3,14,269,4,809,255,842,269,809,237,842,289
story02,43," bed,",5,17,269,4,842,255,897,272,842,237,897,289
story02,44, their,6,14,269,4,897,255,963,269,897,237,963,289
story02,45,seemingly,9,17,330,5,215,316,314,333,215,300,314,350
story02,46, perfect,8,17,330,5,314,316,402,333,314,300,402,350
story02,47, bodies,7,14,330,5,402,316,479,330,402,300,479,350
story02,48, naked,6,14,330,5,479,316,545,330,479,300,545,350
story02,49, and,4,14,330,5,545,316,589,330,545,300,589,350
story02,50, spent,6,15,330,5,589,318,655,333,589,300,655,350
story02,51," together,",10,17,330,5,655,316,765,333,655,300,765,350
story02,52, the,4,14,330,5,765,316,809,330,765,300,809,350
story02,53, wife,5,14,330,5,809,316,864,330,809,300,864,350
story02,54," said,",6,17,330,5,864,316,930,333,864,300,930,350
story02,55," ""Did",5,14,330,5,930,316,985,330,930,300,985,350
story02,56, you,4,13,330,5,985,320,1029,333,985,300,1029,350
story02,57,think,5,14,395,6,215,381,270,395,215,365,270,415
story02,58, I,2,12,395,6,270,383,292,395,270,365,292,415
story02,59, was,4,10,395,6,292,385,336,395,292,365,336,415
story02,60, beautiful,10,14,395,6,336,381,446,395,336,365,446,415
story02,61," before?""",9,14,395,6,446,381,545,395,446,365,545,415
story02,62, The,4,14,395,6,545,381,589,395,545,365,589,415
story02,63, husband,8,14,395,6,589,381,677,395,589,365,677,415
story02,64," said,",6,17,395,6,677,381,743,398,677,365,743,415
story02,65," ""Of",4,14,395,6,743,381,787,395,743,365,787,415
story02,66, course,7,10,395,6,787,385,864,395,787,365,864,415
story02,67, I,2,12,395,6,864,383,886,395,864,365,886,415
story02,68," did.""",6,14,395,6,886,381,952,395,886,365,952,415
story02,69, She,4,14,395,6,952,381,996,395,952,365,996,415
story02,70,"replied,",8,17,456,7,215,442,303,459,215,426,303,476
story02,71," ""Then",6,14,456,7,303,442,369,456,303,426,369,476
story02,72, let's,6,14,456,7,369,442,435,456,369,426,435,476
story02,73, stop,5,15,456,7,435,444,490,459,435,426,490,476
story02,74, taking,7,17,456,7,490,442,567,459,490,426,567,476
story02,75, the,4,14,456,7,567,442,611,456,567,426,611,476
story02,76, pills.,7,17,456,7,611,442,688,459,611,426,688,476
story02,77, Let's,6,14,456,7,688,442,754,456,688,426,754,476
story02,78, see,4,10,456,7,754,446,798,456,754,426,798,476
story02,79, each,5,14,456,7,798,442,853,456,798,426,853,476
story02,80, other,6,14,456,7,853,442,919,456,853,426,919,476
story02,81, as,3,10,456,7,919,446,952,456,919,426,952,476
story02,82, we,3,10,456,7,952,446,985,456,952,426,985,476
story02,83,really,6,17,521,8,215,507,281,524,215,489,281,541
story02,84," are.""",6,14,521,8,281,507,347,521,281,489,347,541
story02,85, The,4,14,521,8,347,507,391,521,347,489,391,541
story02,86, husband,8,14,521,8,391,507,479,521,391,489,479,541
story02,87, looked,7,14,521,8,479,507,556,521,479,489,556,541
story02,88, at,3,12,521,8,556,509,589,521,556,489,589,541
story02,89," her,",5,17,521,8,589,507,644,524,589,489,644,541
story02,90, radiant,8,14,521,8,644,507,732,521,644,489,732,541
story02,91, beside,7,14,521,8,732,507,809,521,732,489,809,541
story02,92, him,4,14,521,8,809,507,853,521,809,489,853,541
story02,93, and,4,14,521,8,853,507,897,521,853,489,897,541
story02,94," said,",6,17,521,8,897,507,963,524,897,489,963,541
story02,95," ""Maybe",7,17,521,8,963,507,1040,524,963,489,1040,541
story02,96,"tomorrow,",9,15,582,9,215,570,314,585,215,550,314,602
story02,97, dear.,6,14,582,9,314,568,380,582,314,550,380,602
story02,98, Maybe,6,17,582,9,380,568,446,585,380,550,446,602
story02,99," tomorrow.""",11,14,582,9,446,568,567,582,446,550,567,602
